company,contact_name,website,reason,status,contacted_date,follow_up_date
Hometown Marketing Agency,Kyle Coffelt,,Small-business agency focused on qualified leads and conversion tracking,contacted,2026-09-11,2026-09-16
Straight Line Web Solutions,,,"Small boutique agency focused on lead-generating websites, HubSpot, and revenue operations",contacted,2026-09-11,2026-09-16
SMB Digital,,,Kansas City agency focused on lead generation and revenue growth for small and medium businesses,contacted,2026-09-11,2026-09-16
WiseGuys Digital Marketing,,,Kansas City agency focused on lead generation and measurable growth for service businesses,contacted,2026-09-11,2026-09-16
Rank Fuse Digital Marketing,,,"Boutique KC-area agency focused on lead generation, marketing automation, and conversion optimization",contacted,2026-09-11,2026-09-16
Brand And Go,,,"Kansas City-area agency working with small businesses, lead-generation systems, sales funnels, and CRM follow-up",contacted,2026-09-11,2026-09-16
Four28 Marketing,,,"KC-area agency serving small-to-midsize businesses with automation, CRM, lead-quality and ROI-focused marketing",contacted,2026-09-11,2026-09-16
Social Wave Online,,,Kansas City agency focused on lead generation and growth for home-service and local-service businesses,contacted,2026-09-11,2026-09-16
EAG Advertising & Marketing,,,"Kansas City agency focused on small-to-mid-sized businesses, qualified lead generation, and measurable growth",contacted,2026-09-11,2026-09-16
Sprout Media,,,"Kansas City small-business growth agency focused on full-funnel marketing, conversion, and automation",contacted,2026-09-11,2026-09-16
